company,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30
CASA,0.3698630136986301,0.2191780821917808,0.0958904109589041,0.1506849315068493,0.0410958904109589,0.0,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.0273972602739726,0.0410958904109589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.058823529411764705,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDAY,0.29205607476635514,0.21962616822429906,0.14719626168224298,0.09813084112149532,0.05841121495327103,0.03271028037383177,0.014018691588785047,0.002336448598130841,0.011682242990654205,0.0,0.014018691588785047,0.009345794392523364,0.004672897196261682,0.002336448598130841,0.0,0.002336448598130841,0.004672897196261682,0.009345794392523364,0.0,0.004672897196261682,0.0,0.02102803738317757,0.0,0.002336448598130841,0.002336448598130841,0.009345794392523364,0.018691588785046728,0.002336448598130841,0.014018691588785047,0.002336448598130841,0.0873015873015873,0.2,0.15625,0.0,0.0,-0.06666666666666667,-0.2857142857142857,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.14285714285714285,0.5
ECOM,0.325,0.15,0.1,0.1,0.125,0.05,0.025,0.025,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.14285714285714285,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLDR,0.266984505363528,0.23361144219308702,0.13706793802145412,0.10250297973778308,0.050059594755661505,0.027413587604290822,0.0166865315852205,0.015494636471990465,0.0059594755661501785,0.004767580452920143,0.028605482717520857,0.010727056019070322,0.007151370679380214,0.0,0.009535160905840286,0.004767580452920143,0.0023837902264600714,0.0023837902264600714,0.003575685339690107,0.0,0.0023837902264600714,0.01907032181168057,0.0,0.0,0.009535160905840286,0.00834326579261025,0.0023837902264600714,0.021454112038140644,0.0023837902264600714,0.004767580452920143,0.13333333333333333,0.06091370558375635,0.19827586206896552,0.10344827586206896,-0.046511627906976744,-0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,0.04,0.0,0.0,0.0,-0.6666666666666666,-0.4,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,-0.10526315789473684,0.0,-0.2
NET,0.3209509658246657,0.2199108469539376,0.13670133729569092,0.09806835066864784,0.04903417533432392,0.04011887072808321,0.02823179791976226,0.019316493313521546,0.0014858841010401188,0.005943536404160475,0.010401188707280832,0.004457652303120356,0.0029717682020802376,0.0029717682020802376,0.005943536404160475,0.004457652303120356,0.0029717682020802376,0.004457652303120356,0.0,0.007429420505200594,0.0,0.0,0.0014858841010401188,0.0014858841010401188,0.008915304606240713,0.005943536404160475,0.0,0.0014858841010401188,0.005943536404160475,0.008915304606240713,0.059907834101382486,0.10067114093959731,0.11827956989247312,0.1044776119402985,0.08823529411764706,0.03571428571428571,0.05,0.07142857142857142,0.0,-0.2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
CLPS,0.5,0.20833333333333334,0.08333333333333333,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDRBQ,0.375,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMM,0.2,0.2,0.26666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTRL,0.4166666666666667,0.25,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNVO,0.272,0.176,0.192,0.136,0.096,0.056,0.016,0.024,0.008,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.30434782608695654,0.0,0.05555555555555555,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTKYY,0.25984251968503935,0.14698162729658792,0.05511811023622047,0.22572178477690288,0.015748031496062992,0.0026246719160104987,0.0,0.007874015748031496,0.0,0.01837270341207349,0.0,0.0,0.007874015748031496,0.0,0.007874015748031496,0.005249343832020997,0.013123359580052493,0.023622047244094488,0.013123359580052493,0.05774278215223097,0.010498687664041995,0.015748031496062992,0.028871391076115485,0.0026246719160104987,0.010498687664041995,0.0026246719160104987,0.015748031496062992,0.007874015748031496,0.04199475065616798,0.0026246719160104987,0.07,0.17543859649122806,0.2727272727272727,0.05747126436781609,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,-0.3333333333333333,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42857142857142855,0.75,0.0,0.0
CSOD,0.30701754385964913,0.30701754385964913,0.14035087719298245,0.05263157894736842,0.09649122807017543,0.02631578947368421,0.008771929824561403,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.008771929824561403,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.1388888888888889,0.11764705882352941,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COUP,0.25892857142857145,0.1875,0.11607142857142858,0.15178571428571427,0.05357142857142857,0.026785714285714284,0.026785714285714284,0.044642857142857144,0.0,0.008928571428571428,0.03571428571428571,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.0,0.0,0.0,0.008928571428571428,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.026785714285714284,0.0,0.0,0.0,0.0,0.008928571428571428,0.06666666666666667,0.13636363636363635,0.07142857142857142,0.16666666666666666,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COVS,0.4426229508196721,0.18032786885245902,0.11475409836065574,0.06557377049180328,0.01639344262295082,0.11475409836065574,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,-0.03571428571428571,0.08333333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PMTS,0.31543624161073824,0.1912751677852349,0.1476510067114094,0.09731543624161074,0.053691275167785234,0.03355704697986577,0.003355704697986577,0.0,0.003355704697986577,0.006711409395973154,0.020134228187919462,0.006711409395973154,0.0,0.003355704697986577,0.006711409395973154,0.003355704697986577,0.013422818791946308,0.016778523489932886,0.0,0.003355704697986577,0.003355704697986577,0.0,0.0,0.010067114093959731,0.010067114093959731,0.003355704697986577,0.02348993288590604,0.003355704697986577,0.016778523489932886,0.003355704697986577,0.021052631578947368,0.05172413793103448,0.022222222222222223,0.03333333333333333,0.11764705882352941,0.2727272727272727,-0.5,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
