company,n_articles,n_articles_major,n_words,pos,neg,unc,str_m,weak_m
DOMO,22,3,361.6818181818182,0.008346807805665475,0.007090892787761996,0.0037066565789265304,0.0035472678134666038,0.00272089862006791
DT,3,0,285.6666666666667,0.0,0.0006666666666666666,0.009607649858882008,0.00690846286701209,0.0006666666666666666
EOPN,11,3,545.0,0.010130073623119466,0.008567674693675325,0.007534314057031245,0.0019028270946781,0.00429696988876627
ESTC,7,1,440.2857142857143,0.0031313864533720143,0.005240520953544175,0.003891833330346748,0.0013403463004408912,0.0033731073214246614
ELLI,11,2,805.8181818181819,0.004978819003472806,0.0061606401399757075,0.0056331169016853545,0.0025248930073580016,0.003697984308916531
ELOQ,2,0,414.5,0.008547008547008548,0.009768009768009768,0.004273504273504274,0.003663003663003663,0.0030525030525030525
ENPH,13,1,789.5384615384615,0.012295064424399612,0.005226938275332006,0.010894728527920883,0.0020514555692220013,0.007400176429342814
ENV,15,2,361.93333333333334,0.008661327484726403,0.005097643275621056,0.0045027708086902134,0.006935347041192006,0.001807668762027041
ENVI.2,8,1,409.125,0.005438941754223197,0.008049193651032665,0.0022401384329637625,0.004200694727880721,0.0009995967991175353
EPAM,12,1,489.1666666666667,0.007573755045265034,0.00530889487497136,0.004619913468018567,0.005562919695950237,0.0027055729410907
EVBG,17,1,323.6470588235294,0.003386603790115177,0.005694296989248909,0.0036776194525328654,0.0013332192747265864,0.0025308271889716784
MRAM,8,0,393.75,0.005825868964647332,0.008265561961938924,0.008327851192446337,0.002475329247786325,0.002748621618122219
EVTC,12,0,430.25,0.012498291635655648,0.006368184248945999,0.0066302211473731505,0.007430908310473431,0.003787361034739081
EVOP,12,2,248.5,0.0022663524048950464,0.0003948673767752715,0.00915805169372587,0.006377827185790552,0.006314571153242667
EXA,18,3,505.22222222222223,0.005766071255608667,0.01069633567609895,0.006758896606700391,0.006139951759636339,0.004433073783706439
ET.4,4,0,511.0,0.002556729350941901,0.009487417278134862,0.003914521242715855,0.004619875286286566,0.0030063441289428314
FN,11,4,321.8181818181818,0.00712759074743968,0.009303645468988262,0.00817269379358631,0.006404646392284066,0.00442605477061059
FSLY,22,2,593.5454545454545,0.0020778154063622813,0.005041282795731488,0.011269344394355181,0.0038051562462878812,0.009661346038136294
FIT,9,0,554.7777777777778,0.0070750456623378775,0.020404868727146874,0.011538743337859945,0.000532066372053096,0.009318234989265647
FIVN,9,0,551.8888888888889,0.0052722224070536755,0.0045183602060652655,0.005326709994479546,0.0014463012020745863,0.0023605584307656385
FLT,7,2,315.57142857142856,0.0055221416563885056,0.004838560577046115,0.0053690043771081305,0.005017262105052096,0.0024975040181705846
FLTX,1,0,10.0,0.0,0.0,0.0,0.0,0.0
FFNTQ,6,1,302.0,0.007359345070595789,0.006861133677001491,0.004552384800086662,0.0039186350389773935,0.003326480357535158
FIO,6,1,366.8333333333333,0.013291565482187363,0.01132565265833667,0.0041308625199719924,0.0019244170463682657,0.0020173322612347003
GIMO,4,0,207.25,0.0014727540500736377,0.005891016200294551,0.0007363770250368188,0.001840942562592047,0.0007363770250368188
GDDY,46,3,523.9565217391304,0.003677414699039676,0.007966836958432342,0.005460557800114551,0.004266469612207275,0.003570030384507778
GSKY,25,7,506.56,0.0051120388909261846,0.006982775280302041,0.015170042248681313,0.0035795526895129113,0.012567622690934399
GTYH,9,0,612.2222222222222,0.007670380678168319,0.0025679681989604374,0.003190007019846092,0.004559779671077374,0.0019401800471501504
GWRE,14,0,394.64285714285717,0.003155367010510246,0.0051998532308521386,0.0033489536528471995,0.0023240564652842375,0.0018741737230779144
ONE.2,12,4,454.3333333333333,0.008186052837715825,0.007377750447543473,0.009014829127231045,0.0036954614715943046,0.006479867786495413
AWAY.1,22,2,518.5454545454545,0.010884961967627525,0.003997152087603262,0.004384255011054946,0.0026562388621904913,0.0028724722991331554
HDP,21,1,624.2857142857143,0.005318803234095934,0.006046736992944819,0.0036470664926949196,0.003102106029001458,0.002337165369397156
HUBS,11,0,423.8181818181818,0.0036088619716468135,0.00546503406109128,0.004422557370038837,0.0037890777510870377,0.0027190175744217634
IIIV,8,0,293.875,0.0017921200014738316,0.0018721541271774238,0.007316549725021811,0.007611752689871433,0.00611848374398619
ICHR,6,1,145.0,0.003424657534246575,0.0005868544600938967,0.0011737089201877935,0.001141552511415525,0.0011737089201877935
IMPV,18,2,464.8333333333333,0.00612031863790613,0.012986325598079555,0.006288936110776058,0.004316567571685187,0.00325094162782133
PI,3,0,2651.6666666666665,0.004083312904787767,0.0009851195105511485,0.007479886347484056,0.0014792593743235703,0.005912800722863174
BLOX,22,3,368.3181818181818,0.011555289574524135,0.006851184437637232,0.0035811130217394908,0.0042849814197508385,0.0023345794600225433
IPHI,8,3,434.625,0.004970395944782747,0.017975221087696155,0.006942429699819884,0.0010146531854634258,0.004913123328893033
INST.1,5,0,562.6,0.006583473230831666,0.0033154993746225144,0.00440616087974522,0.0015548675610595115,0.0025557093239106624
IMI,7,0,1429.142857142857,0.005351332803013235,0.012476902505210696,0.004874651748144136,0.003317550163078007,0.0016811654397818408
INXN,3,0,151.33333333333334,0.008359219132762582,0.007462686567164179,0.008130081300813009,0.005871656943707857,0.008130081300813009
IL,8,2,377.125,0.007914829355521496,0.013434538901613748,0.0038189738432717903,0.0041891332152454094,0.0026634464050304466
INVN,8,2,444.75,0.008166196759488138,0.01464082832056173,0.005405515052259313,0.0040046946373374585,0.0034452335071892453
JKS,7,2,423.14285714285717,0.006407999326275199,0.01533128948154322,0.012824669509527983,0.005545457356961948,0.007099032327028347
JIVE,12,1,342.9166666666667,0.003891331869673151,0.005192375710552125,0.005171654038670194,0.004994494517221513,0.0036534582493246864
KXSCF,21,1,345.0952380952381,0.005742079204808443,0.005534736613973725,0.008367656465295484,0.005099998617722666,0.004122319162436121
KFX,4,0,470.0,0.002656688926643005,0.00332322663123013,0.008822148587986335,0.009901281654017926,0.004839805856406128
LNKD,45,11,502.4888888888889,0.005411925480457074,0.010635610884537326,0.00925408877412606,0.0039182595745242315,0.007437246598249367
LINX,7,0,196.14285714285714,0.0007722233353369398,0.0013733760316592468,0.008000232718742157,0.007755512209558905,0.005048181738842745
LXFT,11,0,276.27272727272725,0.0015056186316386758,0.0010890497667511295,0.006136148146000123,0.0020845562350507887,0.00490037891204326
MRIN,11,1,342.8181818181818,0.003349382229732913,0.003364149163038771,0.004318226155463403,0.0029447793234877407,0.0033637774714381117
MKTO,15,0,570.6666666666666,0.015339419568520363,0.004096331140936113,0.0027846193351813223,0.0033514721641688654,0.0025763815051463076
MVNR.1,5,0,387.6,0.0037979627752250293,0.009431809823516556,0.0037396886255373534,0.0037272493066816187,0.002969240153363541
MXL,15,2,409.3333333333333,0.008018572706730835,0.006457955297010524,0.00818085344232201,0.002265167839898688,0.00556430101262515
MXPT,3,0,239.0,0.00438083719680172,0.002605122825421803,0.0050441472156657055,0.0040650406504065045,0.004231139085584405
MDLA,26,5,581.5769230769231,0.007555183492619657,0.003951172599631465,0.00423221296408586,0.004157324318986345,0.0026735646031870713
MDMD,9,2,342.8888888888889,0.004583837921465382,0.005361624624195501,0.005482104711548589,0.005373688754884863,0.002548042936307946
MERU,9,0,367.6666666666667,0.010552046161393925,0.006813729478212308,0.0028891662180659445,0.00661735457083022,0.0019421442454029463
MM,10,2,431.5,0.003129105622882897,0.004921357039961711,0.005604602417714449,0.006817919093737664,0.004768594150630497
MIME,4,1,525.5,0.004814746067406334,0.008995835226509076,0.004841117566533366,0.005371299390775488,0.002877318831987755
MB,12,0,339.5833333333333,0.001325933766275409,0.0027838920590583295,0.002671645107888422,0.001988965152553373,0.0013200978915587542
MITL,19,2,432.4736842105263,0.008332702627346714,0.007440939875699627,0.007357715279492752,0.003128344223092016,0.005050135309217718
MTC,1,0,10.0,0.0,0.1,0.0,0.0,0.0
MOBL,5,1,323.8,0.00785889223439547,0.004224773604881951,0.005315123159488097,0.0035905009670314956,0.002948259254162653
MBBYF,6,1,520.3333333333334,0.007747611291732317,0.008349012105733513,0.0021055930506768236,0.0021215502247891576,0.0014951894626958956
MOB,2,0,94.5,0.0,0.005319148936170213,0.0,0.0,0.0
MODN,6,1,402.1666666666667,0.0025893396155676463,0.004468832396035022,0.0028178837257458573,0.004796296476596647,0.002334791938306243
MDB,31,7,693.483870967742,0.005274689937344042,0.0033192282077206697,0.006432688298863072,0.0035799541639657795,0.0024605965330567105
MONT,2,0,297.0,0.005050505050505051,0.0,0.0,0.0,0.0
MULE,25,5,313.76,0.0045465834548582,0.004037660304459687,0.003585119647516042,0.004673041084601664,0.001615761883577249
NPTN,7,2,436.7142857142857,0.0028108064636397506,0.009737580830621135,0.006191801741444674,0.0036986673839757857,0.004743109667356122
NETE,12,0,518.0833333333334,0.008049004536418648,0.009727277955371918,0.010588228571098172,0.004561119151562989,0.004320295021332773
NEWR,16,1,688.4375,0.0054337282505267336,0.006893271940255588,0.004939511507489344,0.002658040306997361,0.0026886575033372136
NEXJF,5,0,324.8,0.002677139800849882,0.004218106995884774,0.023480724623587582,0.00930019290830184,0.015213823662664517
NXSN,5,2,371.0,0.007174730691262206,0.005519051024700397,0.002337835842948573,0.004676297096322738,0.0016304966516042536
NMBL,2,0,268.0,0.0,0.0,0.0,0.0,0.0
LASR,13,0,608.8461538461538,0.003204932437536944,0.003323426234440472,0.006973484446199987,0.0057959640526196584,0.0042670709058464035
NTNX,38,8,559.4473684210526,0.0065955027995311605,0.0075161401801801695,0.005609320587376817,0.006439382132319391,0.0028905568365329695
NXPI,9,1,347.3333333333333,0.00979445321348447,0.014609745734346912,0.005957925439401719,0.004746917450057165,0.003691112124499412
OKTA,51,8,509.11764705882354,0.004834686063321599,0.009083367104520975,0.0061814084708569726,0.0014986331226879473,0.0034273856293240974
OSS,2,0,89.5,0.0,0.0,0.0,0.0,0.0
OCFT,65,0,393.1384615384615,0.004846273138218237,0.008717407059103148,0.004560813901572678,0.003867550708799594,0.0025176326543040676
PD,20,2,369.9,0.003325130417351688,0.006148930241424146,0.008017994876323615,0.005200319527538617,0.0033545691196089278
PAGS,9,0,826.2222222222222,0.010656254340864568,0.010055740235507569,0.006684347520567192,0.0032675859810517446,0.003025117957469673
